model_name,precision,recall,f1,pr_auc,roc_auc
Random Forest (Baseline),0.9411764705882353,0.8163265306122449,0.8743169398907104,0.8607506769591988,0.952793291979144
XGBoost (Scale Pos Weight),0.8829787234042553,0.8469387755102041,0.8645833333333334,0.8752588095575878,0.9652206338359767
XGBoost (Baseline),0.9186046511627907,0.8061224489795918,0.8586956521739131,0.8776846378469082,0.9743225511926773
Random Forest (Class Weight),0.961038961038961,0.7551020408163265,0.8457142857142858,0.8652969626933302,0.9580757668852571
XGBoost (SMOTE),0.7310924369747899,0.8877551020408163,0.8018433179723502,0.8774250038696289,0.9791588308086319
Logistic Regression (Baseline),0.8289473684210527,0.6428571428571429,0.7241379310344828,0.7439486441557351,0.9572835078037969
Logistic Regression (Class Weight),0.060851926977687626,0.9183673469387755,0.11414077362079898,0.7189463752156904,0.9721669425367221
